"﻿""symbol-id""",category-id,grammar,rated,tags,symbol-en,category-en,category-vi,symbol-vi,is-representative
1,15,Letter,0,alphabet letter,A,Alphabet,Chữ cái,A,1
2,15,Noun,0,alphabet letter,a_-_lower_case,Alphabet,Chữ cái,a - viết thường,0
3,100,Noun,0,direction position,above,Descriptive Position,Vị trí,ở trên,1
4,93,Noun,0,,absent,Descriptive State,Trạng thái,vắng mặt,0
5,87,Noun,0,,acne_spots,Healthcare Medical conditions,Tình trạng,nốt mụn,0
6,10,Noun,0,gardening plant,acorn,Plants and Trees,Cây cối,quả sồi,0
7,50,Noun,0,abstract direction position,across,Descriptive Direction,Hướng,băng qua,0
8,29,Noun,0,play toys,activity_centre,Leisure Toys,Đồ chơi giải trí,trung tâm hoạt động,0
9,88,Noun,0,,add,Number Activity,Toán học,thêm,0
10,53,Noun,0,celebration Christian,Advent,Religion Festival,Lễ hội,Mùa Vọng,0
11,89,Noun,0,celebration Christian,Advent_calendar,Religion General,Tôn giáo,Lịch Mùa Vọng,0
12,86,Noun,0,,aerial_indoor,Electrical TV,Ti vi,ăng-ten trong nhà,0
13,78,Noun,0,sport,aerobics_dance,Sport,Thể thao,nhảy aerobic,0
14,47,Noun,0,transport travel,aeroplane,Transport Air,Hàng không,máy bay,1
15,7,Noun,0,emotion expression face feeling people,afraid_lady,People Feelings,Cảm xúc,người phụ nữ sợ hãi,0
16,7,Noun,0,emotion expression face feeling people,afraid_man,People Feelings,Cảm xúc,người đàn ông sợ hãi,0
17,100,Noun,0,direction position,after,Descriptive Position,Vị trí,sau khi,0
18,82,Noun,0,calendar diary time,afternoon,Descriptive Time,Thời gian,buổi chiều,0
19,35,Noun,0,grooming,aftershave,Healthcare Grooming items,Đồ vệ sinh cá nhân,nước dưỡng sau cạo râu,0
20,35,Noun,0,grooming,aftershave_1,Healthcare Grooming items,Đồ vệ sinh cá nhân,nước dưỡng sau cạo râu 1,0
21,100,Noun,0,abstract position,against,Descriptive Position,Vị trí,tựa vào / chống lại,0
22,100,Noun,0,abstract adverb direction position,ahead,Descriptive Position,Vị trí,phía trước,0
23,61,Noun,0,job people profession work,air_person_1a,People Profession,Nghề nghiệp,nhân viên hàng không 1a,0
24,61,Noun,0,job people profession work,air_person_1b,People Profession,Nghề nghiệp,nhân viên hàng không 1b,0
25,61,Noun,0,job people profession work,air_person_2a,People Profession,Nghề nghiệp,nhân viên hàng không 2a,0
26,61,Noun,0,job people profession work,air_person_2b,People Profession,Nghề nghiệp,nhân viên hàng không 2b,0
27,61,Noun,0,job people profession work,air_steward_1a,People Profession,Nghề nghiệp,tiếp viên hàng không 1a,0
28,61,Noun,0,job people profession work,air_steward_1b,People Profession,Nghề nghiệp,tiếp viên hàng không 1b,0
29,61,Noun,0,job people profession work,air_steward_2a,People Profession,Nghề nghiệp,tiếp viên hàng không 2a,0
30,61,Noun,0,job people profession work,air_steward_2b,People Profession,Nghề nghiệp,tiếp viên hàng không 2b,0
31,18,Noun,0,body,airways,Healthcare Body parts,Cơ thể,đường hàng không,0
32,88,Noun,0,,algebra_class,Number Activity,Toán học,lớp học đại số,0
33,88,Noun,0,,algebra_formula,Number Activity,Toán học,công thức đại số,0
34,8,Noun,0,,almond,Food Nuts,Các loại hạt,hạnh nhân,0
35,41,Noun,0,transport travel vehicle,ambulance,Transport Road,Đường bộ,xe cứu thương,0
36,65,Noun,0,celebration Christian,angel,Religion Person,Nhân vật tôn giáo,thiên thần,0
37,7,Noun,0,emotion expression face feeling people woman,angry_lady,People Feelings,Cảm xúc,người phụ nữ tức giận,0
38,7,Noun,0,emotion expression face feeling people,angry_man,People Feelings,Cảm xúc,người đàn ông tức giận,0
39,18,Noun,0,body,ankle,Healthcare Body parts,Cơ thể,cổ chân,0
40,88,Noun,0,,answer,Number Activity,Toán học,trả lời,0
41,17,Noun,0,insect,ant,Animal Spiders and Insects,Côn trùng,kiến,0
42,39,Noun,0,animal mammal wild zoo,ant_eater,Animal Mammal,Động vật có vú,thú ăn kiến,0
43,39,Noun,0,animal mammal wild zoo,antelope,Animal Mammal,Động vật có vú,linh dương,0
44,91,Noun,0,,apple,Food Fruit,Trái cây,quả táo,0
45,34,Noun,0,drink juice,apple_juice,Drink Type,Đồ uống,nước táo,0
46,91,Noun,0,food fruit,apricot,Food Fruit,Trái cây,quả mơ,0
47,24,Noun,0,DIY tools workshop,apron,Tools Workshop,Dụng cụ xưởng,tạp dề,0
48,57,Noun,0,animal,aquarium,Animal Habitat,Môi trường sống,bể cá cảnh,0
49,97,Noun,0,class office school stationery,arch_lever_file,Work and School Stationery,Văn phòng phẩm,bìa còng bật,0
50,78,Noun,0,games sport,archery,Sport,Thể thao,bắn cung,0
51,68,Noun,0,games sport,archery_target,Sport Accessories,Phụ kiện thể thao,bia bắn cung,0
52,18,Noun,0,body,arm,Healthcare Body parts,Cơ thể,cánh tay,0
53,66,Noun,0,,arm_chair,Building Furniture,Nội thất,ghế bành,0
54,18,Noun,0,body,arms,Healthcare Body parts,Cơ thể,hai cánh tay,0
55,94,Verb,0,,"armwrestle_,_to",Leisure Games,Trò chơi giải trí,vật tay,0
57,50,Noun,0,direction position,around,Descriptive Direction,Hướng,xung quanh,0
58,51,Noun,0,,arrow_keys,Computer Icon,Internet,phím mũi tên,0
59,59,Noun,0,class school,art,Art Making,Mỹ thuật,mỹ thuật,0
60,83,Noun,0,class school,art_class,Work and School Timetable,Thời khóa biểu,lớp học mỹ thuật,0
61,95,Noun,0,class school,art_room,Building School,Trường học,phòng mỹ thuật,0
62,71,Noun,0,,artichoke,Food Vegetables and salads,Rau củ,atisô,0
63,59,Noun,0,,artist_palette,Art Making,Mỹ thuật,bảng pha màu,1
64,53,Noun,0,celebration Christian,Ash_Wednesday,Religion Festival,Lễ hội,Thứ Tư Lễ Tro,0
65,71,Noun,0,food vegetable,asparagus,Food Vegetables and salads,Rau củ,măng tây,0
66,83,Noun,0,class school,assembly,Work and School Timetable,Thời khóa biểu,buổi chào cờ / tập trung,0
67,51,Noun,0,,at_key,Computer Icon,Internet,phím @,0
68,52,Noun,0,,atom,Science,Khoa học,nguyên tử,0
69,71,Noun,0,,aubergine,Food Vegetables and salads,Rau củ,cà tím,0
70,44,Noun,0,family relationship relatives,aunt_maternal,People Relationship,Gia đình,dì / mợ / cô (bên ngoại),0
71,44,Noun,0,family relationship relatives,aunt_paternal,People Relationship,Gia đình,cô / o / bác (bên nội),0
72,36,Noun,0,clinic health hospital medical,auroscope,Healthcare Medical items,Đồ y tế,dụng cụ soi tai,0
73,82,Noun,0,calendar diary season time,autumn,Descriptive Time,Thời gian,mùa thu,0
74,71,Noun,0,food vegetable,avocado,Food Vegetables and salads,Rau củ,quả bơ,0
75,93,Noun,0,,awake,Descriptive State,Trạng thái,thức giấc,0
76,50,Noun,0,direction position,away,Descriptive Direction,Hướng,đi xa / ra ngoài,0
77,15,Noun,0,alphabet letter,B,Alphabet,Chữ cái,B,0
78,15,Noun,0,alphabet letter,b_-_lower_case,Alphabet,Chữ cái,b - viết thường,0
79,26,Noun,0,grooming,baby,People Descriptive,Đặc điểm người,em bé,0
80,35,Noun,0,,baby_oil,Healthcare Grooming items,Đồ vệ sinh cá nhân,dầu mát-xa cho bé,0
81,35,Noun,0,grooming,baby_powder,Healthcare Grooming items,Đồ vệ sinh cá nhân,phấn rôm,0
82,18,Noun,0,body,back,Healthcare Body parts,Cơ thể,phía sau,0
83,18,Noun,0,body,back_1,Healthcare Body parts,Cơ thể,phía sau 1,0
84,87,Noun,0,clinic health hospital medical,back_ache,Healthcare Medical conditions,Tình trạng,đau lưng,0
85,101,Noun,0,animal gardening,back_garden,Building Garden and farm,Vườn,vườn sau nhà,0
86,68,Noun,0,,backstop,Sport Accessories,Phụ kiện thể thao,rào chắn bóng,0
87,50,Noun,0,direction position,backwards,Descriptive Direction,Hướng,lùi lại,0
